Agent Name, Node Name, Position-X, Position-Z, Time (Seconds)
smart agent 3, module node 17, 21.49-X, -4.53-Z, 8 seconds
smart agent 3, module node 17, 21.49-X, -4.53-Z, 8.02 seconds
smart agent 3, module node 17, 21.49-X, -4.53-Z, 8.12 seconds
smart agent 1, module node 16, 15.49-X, -4.53-Z, 8.24 seconds
smart agent 2, module node 4, 18.49-X, -13.53-Z, 8.42 seconds
smart agent 2, module node 4, 18.49-X, -13.53-Z, 8.5 seconds
smart agent 5, module node 17, 21.49-X, -4.53-Z, 8.66 seconds
smart agent 3, module node 24, 21.49-X, -7.53-Z, 9.24 seconds
smart agent 1, module node 15, 15.49-X, -1.53-Z, 9.44 seconds
smart agent 2, module node 5, 15.49-X, -13.53-Z, 9.46 seconds
smart agent 2, module node 5, 15.49-X, -13.53-Z, 9.58 seconds
smart agent 5, module node 28, 21.49-X, -1.53-Z, 9.84 seconds
smart agent 3, module node 25, 24.49-X, -7.53-Z, 10.4 seconds
smart agent 1, module node 12, 15.49-X, 1.47-Z, 10.46 seconds
smart agent 2, module node 23, 12.49-X, -13.53-Z, 10.46 seconds
smart agent 2, module node 23, 12.49-X, -13.53-Z, 10.52 seconds
smart agent 5, module node 13, 21.49-X, 1.47-Z, 10.88 seconds
smart agent 3, module node 6, 24.49-X, -10.53-Z, 11.5 seconds
smart agent 2, module node 7, 12.49-X, -10.53-Z, 11.6 seconds
smart agent 1, module node 9, 18.49-X, 1.47-Z, 11.6 seconds
smart agent 5, module node 9, 18.49-X, 1.47-Z, 12.12 seconds
smart agent 2, module node 20, 12.49-X, -7.53-Z, 12.46 seconds
smart agent 3, module node 18, 24.49-X, -13.53-Z, 12.46 seconds
smart agent 1, module node 13, 21.49-X, 1.47-Z, 12.48 seconds
smart agent 2, module node 20, 12.49-X, -7.53-Z, 12.48 seconds
smart agent 2, module node 20, 12.49-X, -7.53-Z, 12.54 seconds
smart agent 5, module node 12, 15.49-X, 1.47-Z, 13.12 seconds
smart agent 2, module node 19, 15.49-X, -7.53-Z, 13.62 seconds
smart agent 3, module node 3, 21.49-X, -13.53-Z, 13.62 seconds
smart agent 1, module node 28, 21.49-X, -1.53-Z, 13.62 seconds
smart agent 5, module node 15, 15.49-X, -1.53-Z, 14.24 seconds
smart agent 3, module node 4, 18.49-X, -13.53-Z, 14.48 seconds
smart agent 1, module node 17, 21.49-X, -4.53-Z, 14.5 seconds
smart agent 2, module node 16, 15.49-X, -4.53-Z, 14.78 seconds
smart agent 5, module node 16, 15.49-X, -4.53-Z, 15.12 seconds
smart agent 5, module node 16, 15.49-X, -4.53-Z, 15.14 seconds
smart agent 3, module node 5, 15.49-X, -13.53-Z, 15.52 seconds
smart agent 2, module node 15, 15.49-X, -1.53-Z, 15.62 seconds
smart agent 1, module node 14, 18.49-X, -4.53-Z, 15.64 seconds
smart agent 3, module node 5, 15.49-X, -13.53-Z, 15.64 seconds
smart agent 2, module node 15, 15.49-X, -1.53-Z, 15.64 seconds
smart agent 5, module node 14, 18.49-X, -4.53-Z, 16.34 seconds
smart agent 2, module node 12, 15.49-X, 1.47-Z, 16.5 seconds
smart agent 3, module node 23, 12.49-X, -13.53-Z, 16.52 seconds
smart agent 1, module node 24, 21.49-X, -7.53-Z, 17.38 seconds
smart agent 3, module node 7, 12.49-X, -10.53-Z, 17.66 seconds
smart agent 2, module node 9, 18.49-X, 1.47-Z, 17.66 seconds
smart agent 5, module node 19, 15.49-X, -7.53-Z, 18.02 seconds
smart agent 1, module node 25, 24.49-X, -7.53-Z, 18.4 seconds
smart agent 3, module node 20, 12.49-X, -7.53-Z, 18.54 seconds
smart agent 2, module node 13, 21.49-X, 1.47-Z, 18.54 seconds
smart agent 5, module node 20, 12.49-X, -7.53-Z, 19.08 seconds
smart agent 1, module node 6, 24.49-X, -10.53-Z, 19.54 seconds
smart agent 2, module node 11, 21.49-X, 4.47-Z, 19.68 seconds
smart agent 3, module node 19, 15.49-X, -7.53-Z, 19.8 seconds
smart agent 5, module node 7, 12.49-X, -10.53-Z, 20.06 seconds
smart agent 1, module node 6, 24.49-X, -10.53-Z, 20.42 seconds
smart agent 2, module node 22, 21.49-X, 7.47-Z, 20.56 seconds
smart agent 3, module node 19, 15.49-X, -7.53-Z, 20.56 seconds
smart agent 5, module node 7, 12.49-X, -10.53-Z, 21.1 seconds
smart agent 1, module node 25, 24.49-X, -7.53-Z, 21.5 seconds
smart agent 1, module node 25, 24.49-X, -7.53-Z, 21.56 seconds
smart agent 3, module node 20, 12.49-X, -7.53-Z, 21.7 seconds
smart agent 5, module node 20, 12.49-X, -7.53-Z, 22.12 seconds
smart agent 2, module node 2, 24.49-X, 4.47-Z, 22.4 seconds
smart agent 1, module node 24, 21.49-X, -7.53-Z, 22.62 seconds
smart agent 3, module node 7, 12.49-X, -10.53-Z, 22.92 seconds
smart agent 2, module node 1, 24.49-X, 1.47-Z, 22.96 seconds
smart agent 5, module node 19, 15.49-X, -7.53-Z, 23.1 seconds
smart agent 1, module node 17, 21.49-X, -4.53-Z, 23.42 seconds
smart agent 3, module node 23, 12.49-X, -13.53-Z, 23.8 seconds
smart agent 5, module node 16, 15.49-X, -4.53-Z, 24.06 seconds
smart agent 1, module node 28, 21.49-X, -1.53-Z, 24.28 seconds
smart agent 5, module node 15, 15.49-X, -1.53-Z, 24.92 seconds
smart agent 3, module node 5, 15.49-X, -13.53-Z, 24.94 seconds
smart agent 1, module node 13, 21.49-X, 1.47-Z, 25.14 seconds
smart agent 5, module node 12, 15.49-X, 1.47-Z, 25.78 seconds
smart agent 3, module node 4, 18.49-X, -13.53-Z, 25.8 seconds
smart agent 1, module node 11, 21.49-X, 4.47-Z, 26 seconds
smart agent 5, module node 10, 15.49-X, 4.47-Z, 26.64 seconds
smart agent 3, module node 3, 21.49-X, -13.53-Z, 26.66 seconds
smart agent 1, module node 22, 21.49-X, 7.47-Z, 26.86 seconds
smart agent 3, module node 18, 24.49-X, -13.53-Z, 27.64 seconds
smart agent 5, module node 26, 15.49-X, 7.47-Z, 27.68 seconds
smart agent 5, module node 26, 15.49-X, 7.47-Z, 27.8 seconds
smart agent 1, module node 2, 24.49-X, 4.47-Z, 28.66 seconds
smart agent 3, module node 6, 24.49-X, -10.53-Z, 28.72 seconds
smart agent 5, module node 21, 12.49-X, 7.47-Z, 28.8 seconds
smart agent 1, module node 1, 24.49-X, 1.47-Z, 29.22 seconds
smart agent 3, module node 25, 24.49-X, -7.53-Z, 29.66 seconds
smart agent 5, module node 8, 12.49-X, 4.47-Z, 29.84 seconds
smart agent 5, module node 8, 12.49-X, 4.47-Z, 30.82 seconds
smart agent 3, module node 17, 21.49-X, -4.53-Z, 31.48 seconds
smart agent 5, module node 21, 12.49-X, 7.47-Z, 31.8 seconds
smart agent 5, module node 21, 12.49-X, 7.47-Z, 31.86 seconds
smart agent 3, module node 28, 21.49-X, -1.53-Z, 32.34 seconds
smart agent 3, module node 13, 21.49-X, 1.47-Z, 33.3 seconds
smart agent 5, module node 10, 15.49-X, 4.47-Z, 33.52 seconds
smart agent 5, module node 10, 15.49-X, 4.47-Z, 33.82 seconds
smart agent 5, module node 10, 15.49-X, 4.47-Z, 33.88 seconds
smart agent 3, module node 9, 18.49-X, 1.47-Z, 34.44 seconds
smart agent 5, module node 26, 15.49-X, 7.47-Z, 34.84 seconds
smart agent 3, module node 9, 18.49-X, 1.47-Z, 35.32 seconds
smart agent 5, module node 10, 15.49-X, 4.47-Z, 36.2 seconds
smart agent 3, module node 12, 15.49-X, 1.47-Z, 36.46 seconds
smart agent 3, module node 15, 15.49-X, -1.53-Z, 37.54 seconds
smart agent 5, module node 9, 18.49-X, 1.47-Z, 37.56 seconds
smart agent 3, module node 12, 15.49-X, 1.47-Z, 38.8 seconds
smart agent 5, module node 11, 21.49-X, 4.47-Z, 39.04 seconds
smart agent 3, module node 10, 15.49-X, 4.47-Z, 39.66 seconds
smart agent 5, module node 22, 21.49-X, 7.47-Z, 39.98 seconds
smart agent 3, module node 26, 15.49-X, 7.47-Z, 40.56 seconds
smart agent 5, module node 2, 24.49-X, 4.47-Z, 41.8 seconds
smart agent 3, module node 8, 12.49-X, 4.47-Z, 42.18 seconds
smart agent 5, module node 1, 24.49-X, 1.47-Z, 42.36 seconds
smart agent 3, module node 8, 12.49-X, 4.47-Z, 42.58 seconds
smart agent 3, module node 21, 12.49-X, 7.47-Z, 43.54 seconds
smart agent 3, module node 21, 12.49-X, 7.47-Z, 44.2 seconds
smart agent 3, module node 26, 15.49-X, 7.47-Z, 45.14 seconds
smart agent 3, module node 10, 15.49-X, 4.47-Z, 46.24 seconds
smart agent 3, module node 11, 21.49-X, 4.47-Z, 49.02 seconds
smart agent 3, module node 22, 21.49-X, 7.47-Z, 49.9 seconds
smart agent 3, module node 2, 24.49-X, 4.47-Z, 51.72 seconds
smart agent 3, module node 1, 24.49-X, 1.47-Z, 52.28 seconds
